#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
A0A1Y6G5Q4/8-122     -            115 Bac_globin           PF01152.28   121   2.7e-08   32.6   0.2   1   1   2.2e-09   3.5e-08   32.2   0.2     9   118     1   109     1   112 0.84 tr|A0A1Y6G5Q4|A0A1Y6G5Q4_9BACI Truncated hemoglobin YjbI OS=Bacillus sp. OV166 OX=1882763 GN=SAMN05444673_4194 PE=4 SV=1
A0A2C2V3B8/7-121     -            115 Bac_globin           PF01152.28   121   9.8e-08   30.8   0.2   1   1     8e-09   1.3e-07   30.4   0.2     9   118     1   109     1   112 0.83 tr|A0A2C2V3B8|A0A2C2V3B8_9BACI Uncharacterized protein OS=Bacillus sp. AFS031507 OX=2033496 GN=COE25_21550 PE=4 SV=1
A0A3A0DCR5/11-162    -            152 Bac_globin           PF01152.28   121     1e-05   24.2   0.0   1   1   8.4e-07   1.4e-05   23.9   0.0    14    98    30   114    25   135 0.83 tr|A0A3A0DCR5|A0A3A0DCR5_9BACT Uncharacterized protein OS=Planctomycetes bacterium OX=2026780 GN=DCC67_14645 PE=4 SV=1
A0A3M2DP23/87-236    -            150 Bac_globin           PF01152.28   121   1.6e-05   23.6   0.0   1   1   2.2e-06   3.6e-05   22.5   0.0    10    81    25    95    22   136 0.74 tr|A0A3M2DP23|A0A3M2DP23_9DELT PAS domain S-box protein OS=Deltaproteobacteria bacterium OX=2026735 GN=D6689_07490 PE=4 SV=1
A0A2E0TST3/9-156     -            148 Bac_globin           PF01152.28   121   1.6e-05   23.6   0.0   1   1   1.2e-06     2e-05   23.3   0.0    11    66    21    77    18   124 0.81 tr|A0A2E0TST3|A0A2E0TST3_9DELT Histidine kinase OS=Sandaracinus sp. OX=2024858 GN=CMN29_34435 PE=4 SV=1
A0A2D5EPK3/13-161    -            149 Bac_globin           PF01152.28   121   1.7e-05   23.6   0.0   1   1   1.2e-06     2e-05   23.3   0.0    11    66    22    78    19   125 0.81 tr|A0A2D5EPK3|A0A2D5EPK3_9DELT Histidine kinase OS=Myxococcales bacterium OX=2026763 GN=CMH59_06560 PE=4 SV=1
A0A1M3NCU8/16-160    -            145 Bac_globin           PF01152.28   121   1.9e-05   23.4   0.0   1   1   1.5e-06   2.4e-05   23.1   0.0    10    64    24    79    20   121 0.78 tr|A0A1M3NCU8|A0A1M3NCU8_9DELT Histidine kinase OS=Myxococcales bacterium 68-20 OX=1895795 GN=BGO98_05360 PE=4 SV=1
A0A1X6W997/7-154     -            148 Bac_globin           PF01152.28   121   4.3e-05   22.3   0.0   1   1   4.3e-06   6.9e-05   21.6   0.0    10    67    28    86    25    99 0.83 tr|A0A1X6W997|A0A1X6W997_CHLAO Heme-based aerotactic transducer hemAT OS=Chlamydia abortus OX=83555 GN=hemAT PE=4 SV=1
A0A2P6BWT8/15-162    -            148 Bac_globin           PF01152.28   121   5.6e-05   21.9   0.0   1   1   4.2e-06   6.8e-05   21.6   0.0     7    80    27    96    21   142 0.76 tr|A0A2P6BWT8|A0A2P6BWT8_9BACT Globin-coupled histidine kinase OS=Salinibacter sp. 10B OX=1923971 GN=BSZ35_00825 PE=4 SV=1
A0A3N5SXM2/12-160    -            149 Bac_globin           PF01152.28   121   6.1e-05   21.8   0.0   1   1   5.1e-06   8.2e-05   21.3   0.0    11    99    25   113    22   125 0.84 tr|A0A3N5SXM2|A0A3N5SXM2_9PLAN PAS domain S-box protein OS=Planctomycetaceae bacterium OX=2026779 GN=EHM42_00020 PE=4 SV=1
A0A3B0CGP1/8-157     -            150 Bac_globin           PF01152.28   121   7.1e-05   21.6   0.0   1   1   7.1e-06   0.00011   20.9   0.0    10    57    27    73    24    95 0.83 tr|A0A3B0CGP1|A0A3B0CGP1_9BACL Globin-coupled sensor protein OS=Paenibacillus ginsengarvi OX=400777 GN=D7M11_17900 PE=4 SV=1
A0A2S9YFK3/22-171    -            150 Bac_globin           PF01152.28   121   7.8e-05   21.4   0.1   1   1   6.4e-06    0.0001   21.0   0.1     9    60    21    72    19   112 0.77 tr|A0A2S9YFK3|A0A2S9YFK3_9DELT Globin-coupled histidine kinase OS=Enhygromyxa salina OX=215803 GN=gchK_2 PE=4 SV=1
A0A1I4HRT5/7-157     -            151 Bac_globin           PF01152.28   121   8.4e-05   21.3   0.0   1   1   6.6e-06   0.00011   21.0   0.0    10    57    28    74    25   129 0.83 tr|A0A1I4HRT5|A0A1I4HRT5_9BACL Heam-based aerotactic trancducer OS=Paenibacillus sp. 1_12 OX=1566278 GN=SAMN03159341_10674 PE=4 SV=1
A0A3D6BY65/18-170    -            153 Bac_globin           PF01152.28   121   8.9e-05   21.2   0.0   1   1     7e-06   0.00011   20.9   0.0    10   101    28   118    25   138 0.84 tr|A0A3D6BY65|A0A3D6BY65_9DELT GGDEF domain-containing protein OS=Desulfobacteraceae bacterium OX=2049433 GN=DHV36_02360 PE=4 SV=1
A0A2K2ZXY2/17-161    -            145 Bac_globin           PF01152.28   121    0.0001   21.0   0.1   1   1   9.3e-06   0.00015   20.5   0.1    10   120    27   138    24   139 0.76 tr|A0A2K2ZXY2|A0A2K2ZXY2_9CHRO Globin-coupled histidine kinase OS=Euhalothece sp. KZN 001 OX=1884791 GN=BEN50_16660 PE=4 SV=1
A0A1L6LNW1/7-157     -            151 Bac_globin           PF01152.28   121   0.00015   20.5   0.2   1   1   1.3e-05   0.00021   20.0   0.2    10   106    29   124    25   142 0.80 tr|A0A1L6LNW1|A0A1L6LNW1_9DELT Sensor protein of zinc sigma-54-dependent two-component system OS=Minicystis rosea OX=888845 GN=A7982_08833 PE=4 SV=1
A0A0C2DBF6/25-173    -            149 Bac_globin           PF01152.28   121   0.00017   20.3   0.0   1   1   1.4e-05   0.00022   20.0   0.0     9    82    20    93    19   134 0.68 tr|A0A0C2DBF6|A0A0C2DBF6_9DELT Two-component sensor PilS OS=Enhygromyxa salina OX=215803 GN=DB30_07760 PE=4 SV=1
F5LQN5/10-158        -            149 Bac_globin           PF01152.28   121   0.00022   20.0   0.0   1   1   2.8e-05   0.00046   18.9   0.0    10    63    25    79    22    97 0.81 tr|F5LQN5|F5LQN5_9BACL Methyl-accepting chemotaxis protein signaling domain protein OS=Paenibacillus sp. HGF7 OX=944559 GN=HMPREF9413_1304 PE=4 SV=1
A0A061NSX6/27-172    -            146 Bac_globin           PF01152.28   121   0.00022   19.9   0.1   1   1   1.8e-05   0.00029   19.6   0.1    10   116    23   128    19   132 0.88 tr|A0A061NSX6|A0A061NSX6_9BACL Methyl-accepting chemotaxis protein OS=Geomicrobium sp. JCM 19038 OX=1460635 GN=JCM19038_890 PE=4 SV=1
A0A1H5ZNN6/13-161    -            149 Bac_globin           PF01152.28   121   0.00027   19.7   0.0   1   1   3.5e-05   0.00057   18.6   0.0    10    63    25    79    22    97 0.81 tr|A0A1H5ZNN6|A0A1H5ZNN6_9BACL Heam-based aerotactic trancducer OS=Paenibacillus sp. UNC499MF OX=1502751 GN=SAMN02799616_02748 PE=4 SV=1
A0A061N4I2/27-172    -            146 Bac_globin           PF01152.28   121   0.00028   19.6   0.1   1   1   2.3e-05   0.00037   19.2   0.1    10   116    23   128    19   132 0.88 tr|A0A061N4I2|A0A061N4I2_9BACL Methyl-accepting chemotaxis protein OS=Geomicrobium sp. JCM 19055 OX=1460649 GN=JCM19055_332 PE=4 SV=1
A6Q150/11-149        -            139 Bac_globin           PF01152.28   121   0.00029   19.6   0.1   1   1   2.6e-05   0.00042   19.0   0.1    10    58    21    67    18    91 0.91 tr|A6Q150|A6Q150_NITSB Uncharacterized protein OS=Nitratiruptor sp. (strain SB155-2) OX=387092 GN=NIS_0092 PE=4 SV=1
A0A2V5K4S7/7-157     -            151 Bac_globin           PF01152.28   121    0.0003   19.5   0.0   1   1   2.8e-05   0.00046   18.9   0.0    10    58    28    75    25   107 0.84 tr|A0A2V5K4S7|A0A2V5K4S7_9BACL Chemotaxis protein OS=Paenibacillus sp. DXL2 OX=2211139 GN=DLM86_18015 PE=4 SV=1
A0A1R1BY54/7-157     -            151 Bac_globin           PF01152.28   121    0.0003   19.5   0.0   1   1   2.8e-05   0.00045   19.0   0.0    10    57    28    74    25   100 0.81 tr|A0A1R1BY54|A0A1R1BY54_9BACL Chemotaxis protein OS=Paenibacillus sp. FSL H7-0331 OX=1920421 GN=BK127_18535 PE=4 SV=1
