#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
A0A1V4HUB8/27-129    -            103 Bac_globin           PF01152.28   121   3.3e-05   23.9   0.0   1   1   4.5e-07   4.4e-05   23.5   0.0    19    97     1    79     1    90 0.87 tr|A0A1V4HUB8|A0A1V4HUB8_NITVU Hemin receptor OS=Nitrobacter vulgaris OX=29421 GN=B2M20_16865 PE=3 SV=1
A3WZM3/27-129        -            103 Bac_globin           PF01152.28   121    0.0001   22.4   0.0   1   1   1.6e-06   0.00016   21.7   0.0    19    98     1    80     1    93 0.83 tr|A3WZM3|A3WZM3_9BRAD Probable bacterial hemoglobin OS=Nitrobacter sp. Nb-311A OX=314253 GN=NB311A_06106 PE=3 SV=1
I7ES91/28-127        -            100 Bac_globin           PF01152.28   121   0.00029   20.9   0.0   1   1   3.5e-06   0.00034   20.7   0.0    32   104    12    85     1    98 0.80 tr|I7ES91|I7ES91_PHAIB Putative globin OS=Phaeobacter inhibens (strain ATCC 700781 / DSM 17395 / CIP 105210 / JCM 21319 / NBRC 16654 / NCIMB 13546 / BS107) OX=391619 GN=PGA1_c36050 PE=3 SV=1
A0A291FTR8/28-127    -            100 Bac_globin           PF01152.28   121   0.00038   20.5   0.0   1   1     5e-06   0.00049   20.2   0.0    33   102    13    83     1    98 0.80 tr|A0A291FTR8|A0A291FTR8_9RHOB Hemoglobin-like flavoprotein OS=Phaeobacter piscinae OX=1580596 GN=PhaeoP36_03433 PE=3 SV=1
A0A2I7KEJ6/28-127    -            100 Bac_globin           PF01152.28   121   0.00039   20.5   0.0   1   1   4.6e-06   0.00045   20.3   0.0    32   104    12    85     1    98 0.80 tr|A0A2I7KEJ6|A0A2I7KEJ6_9RHOB Putative globin OS=Phaeobacter inhibens OX=221822 GN=PhaeoP88_03703 PE=3 SV=1
A0A2E3GYQ2/25-128    -            104 Bac_globin           PF01152.28   121    0.0005   20.1   0.1   1   1   8.1e-06    0.0008   19.5   0.1    19   101     2    84     1    97 0.76 tr|A0A2E3GYQ2|A0A2E3GYQ2_9PLAN Uncharacterized protein OS=Planctomyces sp. OX=37635 GN=CMJ47_14450 PE=4 SV=1
F0SL04/25-128        -            104 Bac_globin           PF01152.28   121    0.0005   20.1   0.1   1   1   8.1e-06    0.0008   19.5   0.1    19   101     2    84     1    97 0.76 tr|F0SL04|F0SL04_RUBBR Methyl-accepting chemotaxis sensory transducer with Pas/Pac sensor OS=Rubinisphaera brasiliensis (strain ATCC 49424 / DSM 5305 / JCM 21570 / NBRC 103401 / IFAM 1448) OX=756272 GN=Plabr_2255 PE=4 SV=1
A0A291G561/28-127    -            100 Bac_globin           PF01152.28   121     0.001   19.1   0.1   1   1   1.4e-05    0.0013   18.7   0.1    33   102    13    83     1    98 0.80 tr|A0A291G561|A0A291G561_9RHOB Hemoglobin-like flavoprotein OS=Phaeobacter piscinae OX=1580596 GN=PhaeoP13_03433 PE=3 SV=1
A0A2E8EB56/65-167    -            103 Bac_globin           PF01152.28   121    0.0011   19.0   0.0   1   1   1.3e-05    0.0013   18.8   0.0    19    99     2    82     1    94 0.82 tr|A0A2E8EB56|A0A2E8EB56_9BACT Flavohemoprotein OS=Acidobacteria bacterium OX=1978231 GN=CL477_19535 PE=3 SV=1
A0A0K2L5Y0/28-131    -            104 Bac_globin           PF01152.28   121    0.0012   18.9   0.2   1   1   2.5e-05    0.0025   17.9   0.1    71   111    55    95    50   103 0.88 tr|A0A0K2L5Y0|A0A0K2L5Y0_PISSA Oxidoreductase NAD-binding domain protein OS=Piscirickettsia salmonis OX=1238 GN=KU39_2294 PE=3 SV=1
B4WU25/739-839       -            101 Bac_globin           PF01152.28   121    0.0014   18.6   0.0   1   1   1.7e-05    0.0017   18.4   0.0    19   105     1    87     1    98 0.82 tr|B4WU25|B4WU25_SYNS7 Globin domain protein OS=Synechococcus sp. (strain ATCC 29403 / PCC 7335) OX=91464 GN=S7335_420 PE=4 SV=1
A0A1S1MPC1/27-130    -            104 Bac_globin           PF01152.28   121    0.0016   18.5   0.6   1   1     2e-05     0.002   18.2   0.6    19   102     2    87     1    99 0.83 tr|A0A1S1MPC1|A0A1S1MPC1_9GAMM Nitric oxide dioxygenase OS=Pseudoalteromonas amylolytica OX=1859457 GN=BET10_00750 PE=3 SV=1
V9WNP1/28-127        -            100 Bac_globin           PF01152.28   121    0.0022   18.1   0.1   1   1   2.8e-05    0.0028   17.7   0.1    33   105    13    86     1    99 0.78 tr|V9WNP1|V9WNP1_9RHOB GLOBIN domain-containing protein OS=Phaeobacter gallaeciensis DSM 26640 OX=1423144 GN=Gal_03674 PE=3 SV=1
M7A5P1/23-124        -            102 Bac_globin           PF01152.28   121    0.0022   18.1   0.0   1   1   2.2e-05    0.0022   18.1   0.0    55   106    39    88     1   101 0.77 tr|M7A5P1|M7A5P1_9ACTN Flavoprotein OS=Gordonia sp. NB4-1Y OX=1241906 GN=ISGA_3344 PE=3 SV=1
A0A0K2DZ35/28-131    -            104 Bac_globin           PF01152.28   121    0.0025   17.9   0.1   1   1   4.6e-05    0.0046   17.0   0.1    72   109    56    93    52   103 0.87 tr|A0A0K2DZ35|A0A0K2DZ35_PISSA Oxidoreductase NAD-binding domain protein OS=Piscirickettsia salmonis OX=1238 GN=KW89_2305 PE=3 SV=1
A0A177W3W1/28-131    -            104 Bac_globin           PF01152.28   121    0.0027   17.8   0.1   1   1     5e-05    0.0049   16.9   0.1    71   111    55    95    51   103 0.88 tr|A0A177W3W1|A0A177W3W1_9GAMM Flavohemoprotein OS=Piscirickettsiaceae bacterium NZ-RLO1 OX=1810840 GN=hmp PE=3 SV=1
R7YA76/31-133        -            103 Bac_globin           PF01152.28   121     0.003   17.6   0.0   1   1   6.2e-05    0.0061   16.6   0.0    69   102    51    84    43    95 0.88 tr|R7YA76|R7YA76_9ACTN Hemoglobin-like flavoprotein OS=Gordonia terrae C-6 OX=1316928 GN=GTC6_11101 PE=3 SV=1
A0A1C4AJY7/23-125    -            103 Bac_globin           PF01152.28   121    0.0032   17.5   0.0   1   2       6.6   6.5e+02    0.4   0.0    87   113    24    50    13    54 0.72 tr|A0A1C4AJY7|A0A1C4AJY7_9ACTN Hemoglobin-like flavoprotein OS=Gordonia sp. v-85 OX=1761786 GN=GA0061091_103187 PE=3 SV=1
A0A1C4AJY7/23-125    -            103 Bac_globin           PF01152.28   121    0.0032   17.5   0.0   2   2   0.00013     0.013   15.6   0.0    70   102    52    84    50    96 0.88 tr|A0A1C4AJY7|A0A1C4AJY7_9ACTN Hemoglobin-like flavoprotein OS=Gordonia sp. v-85 OX=1761786 GN=GA0061091_103187 PE=3 SV=1
A0A1S1N5A6/27-130    -            104 Bac_globin           PF01152.28   121    0.0034   17.5   0.6   1   1   4.8e-05    0.0047   17.0   0.6    19   101     2    86     1    98 0.82 tr|A0A1S1N5A6|A0A1S1N5A6_9GAMM Nitric oxide dioxygenase OS=Pseudoalteromonas byunsanensis OX=327939 GN=BIW53_15920 PE=3 SV=1
J9SG81/23-125        -            103 Bac_globin           PF01152.28   121    0.0036   17.4   0.0   1   1   6.6e-05    0.0065   16.5   0.0    69   102    51    84    46    95 0.88 tr|J9SG81|J9SG81_9ACTN Hemoglobin-like flavoprotein OS=Gordonia sp. KTR9 OX=337191 GN=KTR9_2412 PE=3 SV=1
A4C946/27-129        -            103 Bac_globin           PF01152.28   121    0.0038   17.3   0.0   1   1   4.4e-05    0.0044   17.1   0.0    19   110     1    91     1   100 0.84 tr|A4C946|A4C946_9GAMM Probable bacterial hemoglobin OS=Pseudoalteromonas tunicata D2 OX=87626 GN=PTD2_08704 PE=3 SV=1
A0A1V2IBC0/27-129    -            103 Bac_globin           PF01152.28   121    0.0038   17.3   0.0   1   1   6.6e-05    0.0065   16.5   0.0    19    97     1    78     1   101 0.83 tr|A0A1V2IBC0|A0A1V2IBC0_9ACTN Hemin receptor OS=Frankia asymbiotica OX=1834516 GN=BL253_13555 PE=3 SV=1
A3X749/9-111         -            103 Bac_globin           PF01152.28   121    0.0044   17.1   0.3   1   1   0.00021     0.021   14.9   0.3    33   116    14    98     2   102 0.73 tr|A3X749|A3X749_9RHOB Putative flavohemoprotein OS=Roseobacter sp. MED193 OX=314262 GN=MED193_14217 PE=3 SV=1
K6WGP8/23-125        -            103 Bac_globin           PF01152.28   121    0.0047   17.0   0.0   1   1     9e-05    0.0088   16.1   0.0    70   102    52    84    48    98 0.88 tr|K6WGP8|K6WGP8_9ACTN GLOBIN domain-containing protein OS=Gordonia namibiensis NBRC 108229 OX=1208314 GN=GONAM_01_00550 PE=3 SV=1
A0A222TJJ8/23-125    -            103 Bac_globin           PF01152.28   121    0.0047   17.0   0.0   1   1    0.0001      0.01   15.9   0.0    70   101    52    83    48    96 0.88 tr|A0A222TJJ8|A0A222TJJ8_GORRU Flavohemoprotein OS=Gordonia rubripertincta OX=36822 GN=hmp4 PE=3 SV=1
L7K263/23-125        -            103 Bac_globin           PF01152.28   121    0.0047   17.0   0.0   1   1    0.0001      0.01   15.9   0.0    70   101    52    83    48    96 0.88 tr|L7K263|L7K263_GORRU GLOBIN domain-containing protein OS=Gordonia rubripertincta NBRC 101908 OX=1077975 GN=GORBP_025_00050 PE=3 SV=1
A0A1C2BCA9/23-125    -            103 Bac_globin           PF01152.28   121     0.005   16.9   0.0   1   1   0.00014     0.013   15.5   0.0    70   102    52    84    50    95 0.88 tr|A0A1C2BCA9|A0A1C2BCA9_NOCFR Flavoprotein OS=Nocardia farcinica OX=37329 GN=A8M60_15015 PE=3 SV=1
A0A1B9R6Z8/23-125    -            103 Bac_globin           PF01152.28   121    0.0055   16.8   0.0   1   1   0.00011     0.011   15.8   0.0    69   103    51    85    46    95 0.88 tr|A0A1B9R6Z8|A0A1B9R6Z8_9ACTN Flavoprotein OS=Gordonia sp. UCD-TK1 OX=1857893 GN=A9310_23065 PE=3 SV=1
A0A244CTZ1/27-129    -            103 Bac_globin           PF01152.28   121    0.0061   16.6   0.0   1   1   7.1e-05    0.0069   16.4   0.0    19   108     1    89     1   100 0.80 tr|A0A244CTZ1|A0A244CTZ1_9GAMM Hemin receptor OS=Pseudoalteromonas ulvae OX=107327 GN=B1199_01905 PE=3 SV=1
A0A0Q1CSX6/27-130    -            104 Bac_globin           PF01152.28   121    0.0063   16.6   0.0   1   1   7.5e-05    0.0074   16.4   0.0    19    98     1    80     1    99 0.79 tr|A0A0Q1CSX6|A0A0Q1CSX6_9BURK GLOBIN domain-containing protein OS=Acidovorax sp. SD340 OX=1690268 GN=AE621_16160 PE=3 SV=1
